,MONTH,DAY,YEAR,HOUR,WIND_SPEED,WIND_DIR,TEMP,RH,BAROMETER,RADIATION,INNER_TEMP,PM10,PM1,PM2.5
0,0.0,0.0,0.0,0.08695652173913042,0.06478169362826015,0.007959111610277859,0.2964522342590949,0.0005317391720242298,0.6793812248357723,0.00011511673393821203,0.29523093939755507,0.27023206471978195,0.14716841021514276,0.17047282939685593
1,0.0,0.0,0.0,0.13043478260869565,0.09076702982282381,0.6873135932381789,0.28631302851053947,0.000538665554411729,0.664759482941303,0.00011261486770558623,0.29366371818395837,0.292478841310477,0.2121991195474663,0.21701377345996006
2,0.0,0.0,0.0,0.17391304347826086,0.07748706943985914,0.03456864215450263,0.2824824797475444,0.0004920119902844348,0.6541640178003831,9.509150833139483e-05,0.286324221307114,0.19085747485987153,0.1246355115855246,0.13758300909808968
3,0.0,0.0,0.0,0.21739130434782608,0.07010839661054254,0.019988031081895383,0.28138959850275275,0.0005213894052383122,0.6550116550116556,0.0001107307462217572,0.2853954976249827,0.18050573353149746,0.1447412487278407,0.14374237060952674
4,0.0,0.0,0.0,0.2608695652173913,0.08372675250357654,0.6828354035627698,0.28017103591480996,0.000564579778171856,0.6617927527018459,0.00011824664066544715,0.28032943892835616,0.20592209867224848,0.13062264798466305,0.14515189634400935
5,0.0,0.0,0.0,0.30434782608695654,0.08976972598217235,0.7052163915535263,0.2794251444652396,0.0005352023632179802,0.6774740411104077,8.133639192486125e-05,0.2667275066671396,0.18778904339120037,0.11873683463113295,0.13009390632770673
6,0.0,0.0,0.0,0.3478260869565217,0.07719681963244193,0.058009016830927275,0.285979699730878,0.0005576533957843566,0.696122059758423,0.01130292714745706,0.2662244480059852,0.25227019834569264,0.15782466687179003,0.1751641565584168
7,0.0,0.0,0.0,0.3913043478260869,0.07156102123913283,0.0764839397346987,0.2982664171254491,0.00053695386221252,0.7126509853782572,0.061374948463357365,0.2707971222464794,0.25325583144636477,0.17177404085110412,0.1803368500557161
8,0.0,0.0,0.0,0.43478260869565216,0.10221745350500713,0.11641811648206812,0.31129629376647866,0.0004695609577180602,0.7196439923712673,0.11582811849517997,0.2765693979097268,0.2410754813391123,0.1522419587702066,0.16788249342442946
9,0.0,0.0,0.0,0.4782608695652174,0.1132895895234951,0.07311075531416043,0.3275747599076516,0.0006492488318397358,0.7090485272303475,0.36635347179498445,0.29040996056149093,0.21364894342725382,0.1297099476935457,0.13519745327954083
10,0.0,0.0,0.0,0.5217391304347826,0.11717150874876195,0.12859369268140078,0.3620496987746071,0.0007321663865130761,0.6920957830048735,0.3726822667464038,0.3123800801669123,0.17847999813248466,0.08692368227970934,0.09381484150813933
11,0.0,0.0,0.0,0.5652173913043478,0.09477412787498622,0.11418898203065235,0.3713337249491129,0.0005956688853249423,0.6698453062089449,0.2749869642988322,0.33811346552597044,0.17066237138136478,0.08397552720645662,0.0947166720299564
12,0.0,0.0,0.0,0.6086956521739131,0.11604214812369315,0.1449406786584498,0.381869100148905,0.0006855128223857821,0.6518330154693786,0.22299344794180065,0.3601867766516286,0.16470966620756913,0.08888754112328702,0.0988854108767516
13,0.0,0.0,0.0,0.6521739130434783,0.10263563332232861,0.09921652936144681,0.3783718801655716,0.0006198714168858584,0.6380589107861852,0.1818918010806312,0.3709864141914138,0.1616827350799789,0.09307797448581097,0.10311558376971007
14,0.0,0.0,0.0,0.6956521739130435,0.09161439418950146,0.10390986338069219,0.3777462056529284,0.0005783927361515239,0.6306420851875387,0.07904347785351616,0.3704801307952519,0.2002002391457155,0.09439362381955457,0.11025097536521344
15,0.0,0.0,0.0,0.7391304347826086,0.09286893364146584,0.02520309013494397,0.3658146746629145,0.0004747358411110181,0.6300063572790862,0.01338678610006363,0.367735881303954,0.1947636944641139,0.07583962509763083,0.08932031605290242
16,0.0,0.0,0.0,0.7826086956521738,0.09254154286343129,0.06690224733267479,0.3580552178248932,0.0005749693517531055,0.6323373596100872,0.00013262979756659024,0.3533406642309168,0.19304661785189042,0.09141677120068163,0.11048926499881652
17,0.0,0.0,0.0,0.826086956521739,0.12323236491691428,0.14178722035944072,0.35196513708829125,0.0005801442351460635,0.6410256410256424,0.000119492425908853,0.3333408577150173,0.1899055607863277,0.11484195640339873,0.1301800735612864
18,0.0,0.0,0.0,0.8695652173913043,0.08017772642236161,0.02475646641375772,0.34665373423860335,0.0005611165869781072,0.6509853782581061,0.0001076111352403355,0.3324185835029006,0.20320901387408283,0.12881440675960332,0.14054833210553888
19,0.0,0.0,0.0,0.9130434782608696,0.09942362715967865,0.6536853370501988,0.34200625674512647,0.0006492488318397358,0.6556473829201116,0.000119492425908853,0.328816554499634,0.27531326273087803,0.1444451018910795,0.19088701720419238
20,0.0,0.0,0.0,0.9565217391304348,0.09248651920325736,0.6593866621618627,0.33726861654895435,0.0006872643213803233,0.6552235643144754,0.00013826157052645072,0.323698900042889,0.24211298986613544,0.1563483704527703,0.16849949336858033
21,0.0,0.0,0.0,1.0,0.06572810058325079,0.020252578941723814,0.3296676274914277,0.0006336843748655282,0.6547997457088393,0.00011135878671636696,0.3201162194496667,0.2597765725387056,0.17012910937019238,0.18186871198602172
22,0.0,0.033333333333333326,0.0,0.0,0.09201331572576206,0.7044036240323666,0.32512943812243,0.0005162145218453526,0.653528289891927,0.00010259710702927114,0.3201162194496667,0.378763237960362,0.28441042815554657,0.2907851590237571
